"GermplasmId","MG","MG_factor","GermplasmId_name","Chlorosis","Height","Lodging","Maturity","Oil","Protein","SeedQuality","SeedSize","Shattering","YieldBuA"
"JTN_4214_MGIV",4,"MGIV","JTN_4214",NA,33.8185206651357,2.19061868367342,279.431066536531,16.7621542809215,35.6911231593714,1.27443615196017,16.9487897132627,1.94283913630078,48.4674317275466
"K03_2037_MGIV",4,"MGIV","K03_2037",NA,40.1182234748909,3.66144174023485,277.008682474203,16.9077123402924,35.7831625203833,1.60371753571916,17.0812274570706,2.2771698896089,51.5322266903393
"K03_2054_MGIV",4,"MGIV","K03_2054",NA,38.2952169440535,2.87861828422771,278.308682474203,16.1995269269464,37.2039824547517,1.45083954607785,16.5238074863515,2.2771698896089,48.0262586075062
"K03_2788RR_MGIII",3,"MGIII","K03_2788RR",NA,38.7058312534075,2.4039403492244,276.457302467283,17.4989765071971,36.0223377976561,1.26141856266143,15.6428102181224,2.43353856748284,48.8726431520753
"K03_2791RR_MGIII",3,"MGIII","K03_2791RR",NA,35.0408452480591,2.24104425693274,274.32396913395,17.6527125961703,37.0627049018666,1.38761730958117,15.6881999166647,2.43353856748284,51.3990705504631
"K03_2801RR_MGIII",3,"MGIII","K03_2801RR",NA,36.5890819825798,2.51533540974821,275.72396913395,17.2474218072445,36.8422630437745,1.24562485521411,14.8730627690862,2.43353856748284,50.868557927414
"K03_2814RR_MGIII",3,"MGIII","K03_2814RR",NA,39.5919980177013,2.64104425693274,274.72396913395,17.5570216184136,36.7536716779192,1.17828146103686,15.9128896640084,2.43353856748284,48.9383118418368
"K03_2820RR_MGIII",3,"MGIII","K03_2820RR",NA,34.3305385433116,2.97041050926609,270.32396913395,16.1890120296775,37.8119308043007,1.21890788432785,16.6295998190617,2.43353856748284,47.7673274995283
"K03_2832RR_MGIV",4,"MGIV","K03_2832RR",NA,36.3795770915895,2.95998676638216,277.504010091813,16.5412291953628,37.4429072913841,1.55332899139543,17.3512125814881,2.43353856748284,51.1902637387079
"K03_3496_MGIV",4,"MGIV","K03_3496",NA,37.1816724540497,2.97678124791342,279.508682474203,17.7933561002544,37.2790223234885,1.2181829402551,16.0615736672262,2.2771698896089,53.2961342233527
"K04_2347RR_MGIII",3,"MGIII","K04_2347RR",NA,31.340027111918,2.91116002810982,276.701927947797,16.7564856173198,35.4705845885162,1.24860037749644,15.1893503829367,2.33981362472432,48.262883665188
"K04_2460RR_MGIV",4,"MGIV","K04_2460RR",NA,34.6162211593015,2.63540736323255,284.203891719171,15.9975858774452,37.9414586057136,1.0599951073077,13.8047462963313,2.33981362472432,49.187283169741
"K04_2686RR_MGIII",3,"MGIII","K04_2686RR",NA,32.2709695156231,2.49332189341141,276.801927947797,15.9079161950132,37.6640508176391,1.02465628112984,12.6823469816517,2.33981362472432,49.1070399665085
"K04_2999RR_MGIV",4,"MGIV","K04_2999RR",NA,32.5724721808499,2.55034665967901,277.620558385837,16.2838609998624,38.2836512842004,1.55394228787712,15.5303978992024,2.33981362472432,50.5334161742152
"K04_3072RR_MGIV",4,"MGIV","K04_3072RR",NA,35.8472082350119,3.09388369761948,279.120558385837,16.4121066775717,37.217925928696,1.62150706587293,15.5781979258214,2.33981362472432,49.1847805570593
"K04_3687RR_MGIV",4,"MGIV","K04_3687RR",NA,36.5047497308311,2.72449481144089,283.620558385837,16.7077343107943,37.8156003544197,1.0817661778562,14.8286581701099,2.33981362472432,50.2464306170835
"K04_3703RR_MGIII",3,"MGIII","K04_3703RR",NA,33.4360887896916,2.29800776553839,278.301927947797,16.6680646283624,36.9715258996785,1.18837116354901,14.9020871826236,2.33981362472432,46.4293844863165
"K04_3720RR_MGIII",3,"MGIII","K04_3720RR",NA,32.8805332341361,2.53134109887172,278.201927947797,17.2869040394682,36.6690342056654,1.18910910961089,16.0749299101584,2.33981362472432,48.555228184996
"K04_3737RR_MGIII",3,"MGIII","K04_3737RR",NA,31.6313069304352,2.38455371836379,277.301927947797,15.9948797283782,36.679000981718,1.24687850335207,14.904569203874,2.33981362472432,46.0378214731112
"K04_3789RR_MGIV",4,"MGIV","K04_3789RR",NA,34.8617381662485,2.72696086067303,283.370558385837,15.9265737219002,38.1797753270732,1.24154479403763,15.5515546715588,2.33981362472432,51.2934191601371
"K04_3978RR_MGIV",4,"MGIV","K04_3978RR",NA,36.0115538127813,2.70924583914328,281.787225052504,16.2816613775242,37.7621673492443,1.11442278367894,16.8404567387467,2.33981362472432,53.0890433203466
"K05_2279RR_MGIV",4,"MGIV","K05_2279RR",NA,29.0286723230988,2.04324074725503,279.270011918216,17.3228174147071,36.9628279404224,1.17051027990912,16.7619076348177,2.4911163766016,51.1918503415536
"K05_2643RR_MGIV",4,"MGIV","K05_2643RR",NA,31.6969112836969,2.0817682459823,281.81546646367,17.7271414012663,36.731997382554,0.984754300626498,14.9870676933794,2.4911163766016,49.0116015732464
"K05_2664RR_MGIV",4,"MGIV","K05_2664RR",NA,28.1244719518839,1.89790965913815,280.179102827307,17.5506392946882,37.473857841975,1.31873920936062,16.5204184220674,2.4911163766016,52.1775696560795
"K05_2730RR_MGIV",4,"MGIV","K05_2730RR",NA,30.039806275381,2.26374242894985,276.270011918216,18.4524204948779,36.2835588264486,1.47803732974023,17.3082367890061,2.4911163766016,53.1696302058992
"K06_2073RR_MGIII",3,"MGIII","K06_2073RR",NA,37.8052234441511,2.65868316641328,280.834355539181,17.6976190421846,35.9540043643765,0.965628450466576,15.1899262497687,2.4911163766016,54.4069853083749
"K06_2087RR_MGIII",3,"MGIII","K06_2087RR",NA,32.175838066874,2.33337026924008,278.06672346848,17.1154927374588,36.0836025065878,1.19566823814591,13.8959995649501,2.48198355033758,53.2857899389137
"K06_2204RR_MGIII",3,"MGIII","K06_2204RR",NA,32.4313839885997,2.02981433872579,279.959355539181,17.0378416922083,36.8402169874357,1.13524690138074,15.3978050762142,2.4911163766016,48.0706176718203
"K06_2386RR_MGIII",3,"MGIII","K06_2386RR",NA,34.5733146011044,2.55834365873472,278.334355539181,17.765027875597,35.0913797745738,0.971900991992505,15.7695800396131,2.4911163766016,53.2405777753616
"K06_2489RR_MGIII",3,"MGIII","K06_2489RR",NA,35.2630330425,2.36339167146863,282.831429350833,16.6767903130578,37.5749162151239,1.03727102227181,14.4016317951118,2.48198355033758,52.3436050049404
