GermplasmId,Flower,Pubescence
SD08CV-1066,W,G
SD08CV-1078,H,G
SD08CV-1080,P,G
SD08CV-1211,P,G
SD08CV-2080,W,G
SD08CV-2083,P,G
SD08CV-2088,P,G
SD08CV-2094,P,G
SD08CV-2096,P,G
SD08CV-2102,NA,G
SD09CV-0012,P,G
SD09CV-0030,P,T
SD09CV-0047,H,T
SD09CV-0055,W,G
SD09CV-0076,P,T
SD09CV-0133,P,G
SD09CV-2038,P,G
SD1091RR-4,P,G
SD10CV-0066,P,T
SD10CV-0096,P,T
SD10CV-0156,P,T
SD10CV-1225,P,G
SD1111RR,P,G
SD1161RR,W,G
SDFA07-771,W,T
SDX00R-017-52,P,G
SDX00R-020-18,P,T
SDX00R-026-42,H,G
SDX00R-029-3,P,NA
SDX00R-035-56,W,G
Sheyenne,P,G
Strong,W,T
Surge,P,G
TN05-3027,W,G
TN05-4008,W,G
Traill,P,T
U00-409006,W,H
U01-190123,W,G
U01-190271,W,G
U01-190300,W,G
U01-190307,W,G
U01-190311,W,G
U01-190318,W,G
U01-190319,W,G
U01-190324,P,G
U01-290680,W,G
U01-290681,W,T
U01-290820,W,G
U01-290931,W,G
U01-291048,P,G
U01-310412,P,H
U01-390127,H,G
U01-390157,W,G
U01-390159,W,G
U01-390224,W,G
U01-390274,H,H
U01-390489,W,G
U01-390495,W,G
U01-390496,W,G
U01-390504,P,G
U01-390511,W,G
U01-390517,W,G
U01-390553,W,G
U01-390637,W,G
U01-390701,P,G
U01-390783,H,T
U01-390784,P,H
U01-390787,NA,NA
U01-390794,P,G
U02-100652,W,G
U02-140131,P,G
U02-140132,W,G
U02-200106,W,G
U02-200629,W,G
U02-204506,P,T
U02-205111,P,T
U02-205137,P,T
U02-210123,NA,NA
U02-210423,P,T
U02-210455,W,T
U02-241130,W,G
U02-242017,P,G
U02-242055,W,T
U02-300455,P,H
U02-300463,P,NA
U02-341439,W,T
U02-341563,P,T
U03-100612,P,T
U03-200238,P,G
U03-200317,P,T
U03-300134,P,T
U03-827101,W,T
U04-701201,P,T
U04-945062,P,T
U05-224017,P,T
U05-226055,W,T
U05-741026,P,T
U06-103459,W,G
U06-103715,W,G
U06-300984,W,T
U06-814223R,W,T
U07-135601R,P,G
U07-135636R,W,T
U07-200233,W,T
U07-200271,W,G
U07-236940R,P,T
U09-105007,P,NA
U09-118017,NA,NA
U09-133005,P,T
U09-133021,P,T
U09-202083,P,NA
U09-210051,P,NA
U09-211049,NA,T
U09-211070,P,G
U09-311114,NA,NA
U09-312115,P,T
U09-316113,P,G
U09-317120,P,T
U11-343008,P,G
U11-346046,NA,NA
U11-360009,P,G
U11-374036,P,T
U11-376008,P,H
U11-377007,W,NA
U11-380035,P,G
U11-396029,P,T
U11-396034,P,NA
U11-410122,W,T
U11-430085,P,NA
U11-441098,W,G
U11-444079,H,G
U11-444083,NA,NA
U11-448096,P,G
U11-449088,P,G
U11-468126,W,T
U11-494100,W,NA
U11-607166R,P,G
U11-607174R,P,G
U11-609163R,H,T
U11-609165R,P,G
U11-610107,P,T
U11-610109,P,NA
U11-611112,P,T
U11-612121,H,H
U11-614093,P,NA
U11-614119,NA,NA
U11-616086,W,T
U11-616111,W,G
U11-619102,NA,NA
U11-619104,P,T
U11-622148,P,T
U11-629168R,W,G
U11-638173R,W,G
U11-642173R,W,G
U11-649117,P,T
U11-902111R,P,T
U11-902116R,P,G
U11-903002,W,G
U11-905076,P,T
U11-906115R,P,T
U11-907098,P,NA
U11-911074,P,T
U11-911079,P,NA
U11-913028,P,T
U11-913102,W,G
U11-915054,P,T
U11-917032,P,T
U11-918019,P,NA
U11-918052,P,NA
U11-919011,P,T
U11-920017,NA,NA
U11-924115R,H,T
U11-924119R,P,NA
U11-925119R,P,T
U11-926111R,P,T
U11-927115R,W,T
U11-927121R,P,T
U11-931121R,W,T
U11-932025,NA,NA
U11-932077,H,T
U11-932079,P,NA
U12-209068,NA,T
U12-330200,P,T
U12-415209,W,T
U12-416214,W,T
U12-428210,NA,T
U12-428214,P,T
U12-611009,P,G
U12-902102R,P,G
U12-902104R,P,T
U12-902108R,P,T
U12-903108R,P,T
U12-903112R,P,G
U12-904114R,P,NA
U12-905062,W,NA
U12-907117R,P,G
U12-909109R,W,T
U12-909110R,P,G
U12-917123R,P,G
U12-919011,W,G
U12-920105R,P,G
U12-920124R,P,G
U12-921005,P,G
U12-922122R,P,G
U12-923116R,P,G
U12-923122R,P,G
U12-924100R,P,G
U12-924117R,P,G
U12-926110R,P,G
U12-926115R,P,G
U12-927105R,P,G
U13-215422,P,G
U13-220427,W,G
U13-223411,P,G
U13-227425,P,H
U13-228421,W,G
U13-229443,P,G
U13-231286,NA,NA
U13-231427,P,G
U13-233294,W,G
U13-233425,H,G
U13-235283,W,G
U13-235297,P,G
U13-329025,P,G
U13-602142,P,T
U13-602187,P,NA
U13-602194,P,T
U13-603120,P,NA
U13-604147,P,NA
U13-605123,P,T
U13-605132,P,T
U13-608110,P,T
U13-609144,P,NA
U13-612076,P,T
U13-613037,P,T
U13-614037,P,NA
U13-614123,H,T
U13-615123,W,G
U13-617037,P,T
U13-618087,P,T
U13-618123,P,G
U13-618135,P,G
U13-904037,P,T
U13-905029,P,T
U13-908070,W,T
U13-909086,W,H
U13-910045,P,T
U13-910087,P,T
U13-911014,W,G
U13-912010,NA,G
U13-912032,W,G
U13-912040,P,T
U13-913034,W,G
U13-914045,P,T
U13-916028,H,G
U13-918042,NA,NA
U13-926082,W,G
U13-929048,W,H
U13-931068,P,NA
U14-103005,P,T
U14-103008,P,G
U14-103015,P,NA
U14-103022,P,T
U14-103043,P,G
U14-108007,P,T
U14-108041,P,G
U14-110036,P,T
U14-111010,P,T
U14-206321,W,G
U14-206326,W,T
U14-211126,P,G
U14-211209,P,G
U14-211226,P,G
U14-213255,W,T
U14-216260,P,G
U14-218219,W,G
U14-221187,P,T
U14-221253,P,T
U14-222063,NA,T
U14-223230,P,T
U14-227239,P,H
U14-227255,H,T
U14-319013,P,T
U14-320041,P,T
U14-321026,W,T
U14-322043,W,T
U14-605217,W,G
U14-608170,W,G
U14-615073,W,G
U14-902082,W,G
U14-903100,P,G
U14-909100,P,G
U14-910097,P,G
U14-912075,P,G
U14-912101,P,G
U14-914093,P,G
U14-915126,NA,G
U14-919098,P,G
U14-923097,P,NA
U14-924158,P,G
U14-925152,P,G
U14-926130,P,G
U14-927136,P,G
U15-606207,P,G
U15-613163,P,G
U15-613225,P,T
U15-908119,W,G
U15-917133,P,T
U15-927115,P,H
U15-929095,H,G
U99-035014,P,G
V02-8659,P,T
