"GermplasmId","MG","Chlorosis_Blues_Plus_intercept","GreenStem_Blues_Plus_intercept","Height_Blues_Plus_intercept","Lodging_Blues_Plus_intercept","Maturity_Blues_Plus_intercept","Oil_Blues_Plus_intercept","Protein_Blues_Plus_intercept","SDS_Blues_Plus_intercept","SeedQuality_Blues_Plus_intercept","SeedSize_Blues_Plus_intercept","Shattering_Blues_Plus_intercept","YieldBuA_Blues_Plus_intercept"
"U95_2435_MGII",2,2.71993242545795,NA,25.3741958544545,1.76420534961297,264.569438576041,18.6074881814913,36.2711061502806,NA,1.38560771411854,16.2970445032746,2.12225212084352,48.9497306103722
"U95_2723_MGII",2,2.81993242545795,NA,27.8863907857974,2.56677468248846,261.269438576041,14.7795425453419,41.4117043620475,NA,1.46291329220638,14.8254390707182,3.12225212084352,34.7225569278968
"U95_3135_MGIII",3,4.04726030414145,NA,30.0173863867036,2.48306573513733,271.588352061199,17.6352788988632,36.1089181548977,NA,1.32117648712803,15.922599620755,2.22578008638769,49.9111658936147
"U95_3213_MGIII",3,4.69726030414145,NA,30.7100856994329,2.89334910204821,271.052637775485,17.3162788988632,36.9354181548977,NA,1.52240638242901,17.6945368799561,2.22578008638769,48.9603701232169
"U95_3308_MGIII",3,4.61993242545796,NA,29.3846819623668,2.38509782519255,270.988916259063,18.0129386789507,36.1361785526682,NA,1.15603384850142,15.5597317144658,2.12225212084352,47.1477082983683
"U95_3323_MGIII",3,4.11993242545795,NA,30.2833330935292,2.78756519889524,270.988916259063,17.1719386789507,38.0791785526682,NA,1.67825607072364,19.1263983811324,2.12225212084352,44.3810416317016
"U95_3420_MGIII",3,4.61993242545796,NA,31.6481706507434,2.41042408816567,273.322249592396,18.3870114970254,36.2512794467847,NA,1.05086828823729,18.7498555172552,2.12225212084352,46.0556187649899
"U95_3435_MGIII",3,4.81993242545796,NA,31.3981706507434,2.09792408816567,273.211138481285,17.8940114970254,36.5702794467847,NA,1.36222537840859,17.6445057065404,2.12225212084352,47.3287870496482
"U95_3708_MGIII",3,3.41993242545796,NA,27.9539722330584,3.10590737017885,267.433360703507,16.3411385124806,39.7579935801212,NA,1.51946073398326,16.1107599938131,2.12225212084352,40.833537851876
"U95_3734_MGIII",3,3.81993242545795,NA,30.5653916916752,2.60178828020626,273.76669403684,17.4503205576672,37.8562458154126,NA,1.1498843719965,16.4823658712257,2.12225212084352,47.1407234041348
"U95_3735_MGIII",3,3.21993242545795,NA,30.5671466674773,2.2546736833275,267.76669403684,16.6934839821597,37.9840103958073,NA,1.38538946346934,15.660142759291,2.12225212084352,47.9029218867902
"U96_2107_MGII",2,4.07458818282494,NA,27.5442534274529,2.15621604842021,265.87957204438,16.9855092841041,37.3310526472879,NA,1.57021834686802,19.0917803453442,2.32930805193187,49.7966544548608
"U96_2118_MGII",2,4.07458818282494,NA,26.7100803304588,2.44467074108863,267.970481135289,17.9352366324997,37.0161367257183,NA,1.26534796147612,17.7677065974981,2.32930805193187,50.2652149162923
"U96_2208_MGIII",3,3.74965406740347,NA,21.7156025418972,2.04080481700725,268.406822067873,17.583429424066,36.5738342669898,-12.2471449913448,1.52451854879051,19.1213656116818,2.68995247781761,55.4148740763399
"U96_2209_MGII",2,4.07458818282494,NA,24.882088557094,2.00806982256273,266.152299317107,17.1972002234623,37.66908627866,NA,1.26977558455966,20.1114100046309,2.32930805193187,49.4716050288815
"U96_2233_MGII",2,3.28657982227369,NA,20.6961066952445,1.81949592324152,262.984586981825,17.3880787889438,37.0574281231289,-16.2334333210567,1.20066110917637,18.2230482411988,2.58737844731566,50.8637843953873
"U96_2236_MGII",2,3.37458818282494,NA,28.3034419101636,2.04018460708375,268.425026589834,18.0512366324997,34.8701367257183,NA,1.14424105570524,15.6917807457148,2.32930805193187,51.0477082972359
"U96_2236_MGIII",3,3.22535041773088,NA,29.6671499395009,2.13406110269453,268.523771410943,17.6881978120933,34.9460503874046,1.44466409790887,NA,15.4650437358186,1.84544884269946,52.7833484609029
"U96_2309_MGII",2,3.07458818282494,NA,25.7616827984493,2.31369046553086,267.425026589834,17.7772002234623,37.35008627866,NA,1.39645486724701,18.2236324492813,2.32930805193187,49.90622285916
"U96_2326_MGIII",3,4.27458818282494,NA,27.465694795898,2.01405937791879,270.960106309983,17.3777897408683,37.1175475958788,NA,1.18285853694932,19.3647956072609,2.32930805193187,50.2358474286639
"U96_2329_MGII",2,3.07458818282494,NA,29.0540967837292,2.51692344949137,264.334117498925,17.0029817692384,37.2077835963104,NA,1.47442458879738,18.8502985821204,2.32930805193187,50.4779951414707
"U96_2402_MGII",2,3.57458818282494,NA,29.7727690996702,2.37966258632676,264.425026589834,17.7004000569922,37.723901306113,NA,1.1733176830265,18.4943727303372,2.32930805193187,50.490857454023
"U96_2407_MGII",2,2.87458818282494,NA,26.1265955081235,2.09760712234631,262.606844771653,17.2436727085966,37.1108172276826,NA,1.22730254380168,17.0177057967568,2.32930805193187,50.4427021120668
"U96_2408_MGII",2,3.62657982227369,NA,29.9600470477448,2.10004760329851,265.431395492464,17.3887124741183,37.339560061589,-13.1834333210567,1.11911144109713,16.0733852785478,2.58737844731566,51.168880838513
"U96_2416_MGII",2,3.46657982227369,NA,30.3459384503278,2.30784497265788,264.856927407357,18.215222928705,37.1235212561595,-17.6334333210567,1.1313252526389,17.0572235916136,2.08737844731566,48.5626892520691
"U96_2426_MGII",2,4.63824587782306,NA,28.6112430851792,2.51380053242169,265.308793484551,17.562213008152,36.5604673805312,-15.8336833494812,1.46060073208798,15.6561944416494,2.32930805193187,51.659612940241
"U96_2431_MGII",2,3.87458818282494,NA,29.9594922590798,2.32523577286244,265.334117498925,16.9797455266713,36.8779181217991,NA,1.42243215840979,17.2636320489107,2.32930805193187,49.4012987613648
"U96_2436_MGII",2,3.37458818282494,NA,27.0737166940951,2.09921619563409,267.970481135289,17.8482366324997,34.4931367257183,NA,1.14579072378448,14.8980769382113,2.32930805193187,51.8379421890196
"U96_2436_MGIII",3,3.07007472532212,NA,28.6630212927268,2.1922534143194,269.341431818124,17.7284240370408,35.75446610527,-12.0336833494812,NA,15.0640904205708,NA,50.7550426515621
"U96_3103_MGIII",3,3.03765985900439,NA,29.8450465208644,2.29106352969739,270.010507848243,16.6338059086111,37.9049925746996,-14.9553359020911,1.41617925426198,15.4823549732067,2.08737844731566,53.4852241764728
