GermplasmId,Fill column,Flower,Pub_Lt_to_T,Pub_1
K15-1039,x,P,T,T
K15-1043,x,P,T,T
K15-1278,x,P,T,T
K15-1279,x,P,T,T
K15-1283,x,P,T,T
K15-1294,x,P,T,T
K15-1307,x,P,T,T
K15-1310,x,P,T,T
Lambert,x,P,G,G
LD00-1938,x,P,T,T
LD00-2817P,x,P,G,G
LD00-3309,x,P,T,T
LD00-4970,x,P,G,G
LD01-11154,x,P,T,T
LD01-5907,x,P,G,G
LD01-7323,x,P,G,G
LD01-9035,x,P,T,T
LD02-4485,x,P,G,G
LD02-5025,x,W,T,T
LD02-5124W,x,W,T,T
LD02-5320,x,H,T,T
LD02-6553,x,P,T,T
LD02-7222P,x,P,T,T
