GermplasmId,Fill column,Flower,Pub_Lt_to_T,Pub_1
SD04CV-564,x,P,G,G
SD04CV-611,x,P,T,T
SD04CV-613,x,P,G,G
SD04CV-965,x,P,G,G
SD04CV-972,x,P,G,G
SD04R-3666,x,P,T,T
SD04R-4273,x,P,G,G
SD04R-4281,x,P,G,G
SD04R-4284,x,P,G,G
SD04R-4490,x,P,G,G
SD05-240,x,P,G,G
SD05-335,x,P,G,G
SD05-383,x,P,G,G
SD05R-2750,x,W,T,T
SD05R-4526,x,P,T,T
SD05R-5878,x,P,G,G
SD06-320,x,P,G,G
SD06-322,x,P,G,G
SD06-328,x,P,G,G
SD06-344,x,P,G,G
SD06-393,x,P,G,G
SD06-415,x,P,G,G
SD06-418,x,P,G,G
SD06-424,x,P,G,G
SD06-428,x,P,G,G
SD06-430,x,P,G,G
SD06-432,x,W,G,G
SD06-441,x,P,G,G
SD06-444,x,P,G,G
SD06-455,x,P,G,G
SD06-483,x,P,G,G
SD06-487,x,P,G,G
SD06-525,x,NA,G,G
SD06-535,x,P,T,T
SD06-577,x,W,T,T
SD06-589,x,P,G,G
SD06R-1200,x,P,G,G
SD06R-1729,x,P,T,T
SD06R-1780,x,P,T,T
SD06R-1901,x,P,NA,NA
SD06R-1917,x,P,T,Lt
SD06R-2462,x,P,G,G
SD06R-2545,x,P,T,T
SD06R-3241,x,P,H,H
SD06R-3250,x,P,T,T
SD06R-3612,x,P,G,G
SD06R-3650,x,W,G,G
SD06R-4518,x,P,T,T
SD06R-5123,x,P,G,G
SD06R-5528,x,P,G,G
SD06R-5663,x,P,G,G
SD06R-5684,x,P,T,T
SD06R-5819,x,P,T,T
SD07CV-367,x,W,G,G
SD07CV-523,x,W,G,G
SD07CV-528,x,P,G,G
SD07CV-539,x,W,G,G
SD07CV-576,x,W,G,G
SD07CV-603,x,W,G,G
SD07CV-619,x,W,T,T
SD07CV-631,x,P,G,G
SD07CV-673,x,W,G,G
SD07CV-770,x,P,T,T
SD07CV-800,x,W,G,G
SD07CV-874,x,W,T,T
SD07CV-875,x,W,T,T
SD07CV-878,x,W,G,G
SD07CV-884,x,P,G,G
SD07CV-885,x,W,T,T
SD07CV-886,x,W,G,G
SD07CV-935,x,P,T,T
SD07CV-997,x,H,T,T
SD08CV-0015,x,W,G,G
SD08CV-0016,x,W,G,G
SD08CV-0018,x,W,NA,NA
SD08CV-0019,x,H,G,G
SD08CV-0024,x,P,G,G
SD08CV-1041,x,W,G,G
SD08CV-1043,x,P,G,G
SD08CV-1061,x,W,G,G
SD08CV-1066,x,W,G,G
SD08CV-1078,x,H,G,G
SD08CV-1080,x,P,G,G
SD08CV-1211,x,P,G,G
SD08CV-2080,x,W,G,G
SD08CV-2083,x,P,G,G
SD08CV-2088,x,P,G,G
SD08CV-2094,x,P,G,G
SD08CV-2096,x,P,G,G
SD08CV-2102,x,NA,G,G
SD09CV-0012,x,P,G,G
SD09CV-0030,x,P,T,T
SD09CV-0047,x,H,T,T
SD09CV-0055,x,W,G,G
SD09CV-0076,x,P,T,T
SD09CV-0133,x,P,G,G
SD09CV-2038,x,P,G,G
SD1091RR-4,x,P,G,G
SD10CV-0066,x,P,T,T
SD10CV-0096,x,P,T,T
SD10CV-0156,x,P,T,T
SD10CV-1225,x,P,G,G
SD1111RR,x,P,G,G
SD1161RR,x,W,G,G
SDFA07-771,x,W,T,T
SDX00R-017-52,x,P,G,G
SDX00R-020-18,x,P,T,T
SDX00R-026-42,x,H,G,G
SDX00R-029-3,x,P,NA,NA
SDX00R-035-56,x,W,G,G
Sheyenne,x,P,G,G
Strong,x,W,T,T
Surge,x,P,G,G
TN05-3027,x,W,G,G
TN05-4008,x,W,G,G
Traill,x,P,T,T
U00-409006,x,W,H,H
U01-190123,x,W,G,G
U01-190271,x,W,G,G
U01-190300,x,W,G,G
U01-190307,x,W,G,G
U01-190311,x,W,G,G
