"GermplasmId_2","GermplasmId","MG","Year"
"K1232","K1232","MGIII",1993
"K1233","K1233","MGIV",1993
"K1235","K1235","MGIV",1993
"K1236","K1236","MGIV",1993
"K1237","K1237","MGIV",1993
"K1251","K1251","MGIII",1993
"K1252","K1252","MGIII",1993
"K1253","K1253","MGIII",1993
"K1254","K1254","MGIII",1993
"K1255","K1255","MGIII",1993
"K1256","K1256","MGIV",1993
"K1257","K1257","MGIV",1993
"K1258","K1258","MGIV",1993
"K1259","K1259","MGIV",1993
"K1260","K1260","MGIV",1993
"K1261","K1261","MGIV",1993
"K1262","K1262","MGIV",1993
"K1263","K1263","MGIV",1993
"K1264","K1264","MGIV",1993
"K1265","K1265","MGIV",1993
"K1266","K1266","MGIV",1993
"Kenwood","Kenwood","MGII",1993
"Kenwood94","Kenwood94","MGII",1993
"KS4694","KS4694","MGIV",1993
"Ky88_1195","Ky88_1195","MGIV",1993
"Ky90_1208","Ky90_1208","MGIV",1993
"Ky90_1238","Ky90_1238","MGIV",1993
"Ky90_2713","Ky90_2713","MGIV",1993
"Lambert_MG0","Lambert","MG0",1993
"Lambert_MGI","Lambert","MGI",1993
"LN88_9883","LN88_9883","MGIV",1993
"LN89_1179","LN89_1179","MGIV",1993
"LN89_2546","LN89_2546","MGIV",1993
"LN89_334","LN89_334","MGIII",1993
"LN89_344","LN89_344","MGIII",1993
"LN89_3615","LN89_3615","MGIV",1993
"LN89_3619","LN89_3619","MGIII",1993
"LN89_4079","LN89_4079","MGIII",1993
"LN89_764","LN89_764","MGIII",1993
"LN90_1587","LN90_1587","MGII",1993
"LN90_2275","LN90_2275","MGII",1993
"LN90_3028","LN90_3028","MGIII",1993
"LN90_3216","LN90_3216","MGIV",1993
"LN90_3218","LN90_3218","MGIV",1993
"LN90_323","LN90_323","MGII",1993
"LN90_3314","LN90_3314","MGIV",1993
"LN90_3336","LN90_3336","MGIII",1993
"LN90_3338","LN90_3338","MGII",1993
"LN90_3382","LN90_3382","MGIII",1993
"LN90_366","LN90_366","MGII",1993
"LN90_4057","LN90_4057","MGIV",1993
"LN90_4139","LN90_4139","MGIV",1993
"LN90_4366","LN90_4366","MGII",1993
"LN90_510","LN90_510","MGIV",1993
"LN90_608","LN90_608","MGIII",1993
"LN90_728","LN90_728","MGIII",1993
"LN90_738","LN90_738","MGII",1993
"LN90_745","LN90_745","MGIII",1993
"LS86_1922","LS86_1922","MGIV",1993
"LS87_1123","LS87_1123","MGIV",1993
"LS87_1311","LS87_1311","MGIV",1993
